Gene	HL_IB	HL_MS	PP
YCR085W	NA	NA	0.615
YCR086W	NA	410.6	1.25
YCR087C-A	117.0	420.6	0.783
YCR087W	NA	NA	0.8617
YCR088W	18.0	555.4	0.3389
YCR089W	NA	NA	0.5135
YCR090C	8.0	687.8	0.7614
YCR091W	NA	NA	0.4966
YCR092C	21.0	NA	0.6305
YCR093W	53.0	600.9	NA
YCR094W	47.0	365.5	1.218
YCR095C	104.0	1745.9	0.6286
YCR095W-A	NA	NA	NA
YCR096C	NA	NA	NA
YCR097W	NA	NA	NA
YCR097W-A	NA	NA	NA
YCR098C	NA	NA	0.4155
YCR099C	NA	NA	0.4244
YCR100C	NA	NA	0.4107
YCR101C	NA	NA	0.7321
YCR102C	NA	NA	0.7903
YCR102W-A	NA	NA	0.6466
YCR104W	NA	NA	NA
YCR105W	NA	NA	0.6084
YCR106W	NA	NA	0.6627
YCR107W	NA	NA	0.6445
YCR108C	NA	NA	NA
YDL001W	2.0	892.6	0.527
YDL002C	54.0	NA	0.5996
YDL003W	NA	47.4	NA
YDL004W	NA	NA	NA
YDL005C	38.0	335.6	1.045
YDL006W	NA	624.6	0.708
YDL007C-A	NA	NA	NA
YDL007W	17.0	563.6	NA
YDL008W	11.0	89.0	NA
YDL009C	NA	NA	0.6446
