Gene	HL_IB	HL_MS	PP	HL_IB_quantile	HL_IB_pt	HL_MS_quantile	HL_MS_pt
YDR169C	39.0	297.4	0.7626	-0.10936510116177109	-0.115267621388659	-1.0626005199812274	-0.7310597952009883
YDR169C-A	NA	NA	NA	NA	NA	NA	NA
YDR170C	65.0	533.1	NA	0.4556403137378794	0.31512945488509303	0.06774654698528747	0.16874216998142896
YDR171W	72.0	1283.8	0.3948	0.5554621702769806	0.401767242769465	1.9623784616105726	1.6672198804957954
YDR172W	NA	578.7	NA	NA	NA	0.36289675825392287	0.30117543541456815
YDR173C	367.0	453.0	2.144	1.7432344375590576	1.7920525181536293	-0.3789773215364034	-0.08959585697994288
YDR174W	NA	696.4	1.01	NA	NA	1.0473747783381604	0.6054396024731747
YDR175C	30.0	322.0	0.3672	-0.41016940620520764	-0.33433772614370716	-0.9699008312121186	-0.6127537464039674
YDR176W	28.0	583.7	1.453	-0.49213682280838095	-0.3916563966546011	0.3894584739497774	0.31514334858824333
YDR177W	45.0	467.7	NA	0.06151263655249807	0.004852326861235329	-0.29968686534816774	-0.03938013958508079
YDR178W	481.0	349.8	0.5252	1.8823487715113363	2.02398784617338	-0.8473045398955407	-0.4880892527932516
YDR179C	40.0	455.9	0.5152	-0.07912030015842841	-0.09404528997145382	-0.3640025199708165	-0.07957918716782042
YDR179W-A	24.0	NA	0.8431	-0.6533766109715354	-0.519217705047238	NA	NA
YDR180W	21.0	366.0	NA	-0.7936015541273999	-0.6290855526867786	-0.7861114915372961	-0.41933042444428786
YDR181C	21.0	617.4	0.2974	-0.7936015541273999	-0.6290855526867786	0.6189393052508552	0.40668268018859105
YDR182W	6.0	283.8	NA	-1.5887709585727845	-1.6132828549762859	-1.121966512787959	-0.8001325534445702
YDR182W-A	NA	NA	NA	NA	NA	NA	NA
YDR183C-A	NA	NA	NA	NA	NA	NA	NA
YDR183W	20.0	460.4	0.3611	-0.8444850779006299	-0.6690678474044145	-0.3398820057180608	-0.06414433982400194
YDR184C	2.0	20.6	0.6374	-5.199337582605575	-2.34150278073377	-2.7796376157774016	-4.012321448043787
YDR185C	25.0	58.3	0.4524	-0.6135094449805312	-0.4855090168476737	-2.09388065863414	-2.8863767953893755
YDR186C	NA	121.9	0.7748	NA	NA	-1.7519912111341087	-1.972523211015731
YDR187C	NA	NA	NA	NA	NA	NA	NA
YDR188W	NA	600.0	NA	NA	NA	0.5092020438642008	0.35997290851503366
YDR189W	32.0	595.6	NA	-0.32822341801540306	-0.28060389820929577	0.47521374006182493	0.34797624420859724
YDR190C	NA	549.9	NA	NA	NA	0.168557826487966	0.2186315087573011
YDR191W	33.0	698.5	0.5342	-0.2939857808389507	-0.2549464527825869	1.0559535624843381	0.6104519629671117
YDR192C	NA	520.0	0.341	NA	NA	-0.008947447106411962	0.12889023751552384
YDR193W	NA	NA	0.6098	NA	NA	NA	NA
YDR194C	162.0	416.3	0.6364	1.2175476164217955	1.09216480878635	-0.560534239557747	-0.22138556116181837
YDR194W-A	NA	NA	NA	NA	NA	NA	NA
