,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
TIP41,0.5, 0.15443,5.477e-08, 0.030954,2.739e-08,1.295e-14,4.637e-19,11.097,7.151e-04,0.08582,8.367e-08
ELG1,1.0,-0.13549,3.318e-02,-0.031818,2.168e-02,1.675e-14,2.162e-14,18.810,7.077e+00,0.41858,4.298e-01
UBP16,1.0, 0.14646,3.162e-08, 0.033536,1.814e-08,2.179e-14,2.394e-19,10.871,6.452e-04,0.09847,8.165e-08
RIM11,0.8, 0.15209,2.095e-06, 0.033872,8.910e-07,3.212e-14,2.502e-17,10.703,8.812e-04,0.09412,3.520e-06
RTT109,1.0,-0.11676,1.556e-02,-0.033502,2.729e-02,3.941e-14,2.713e-14,11.285,1.329e+00,0.60917,2.788e-01
BCS1,0.5,-0.16487,7.071e-08,-0.030822,1.871e-08,5.291e-14,1.219e-18,10.486,7.100e-04,0.05045,4.472e-08
RSC2,0.4,-0.15380,1.200e-06,-0.075076,9.667e-07,6.082e-14,2.702e-17,10.426,5.134e-04,0.11756,2.267e-06
YLH47,0.3, 0.13611,0.000e+00, 0.044198,1.155e-08,1.289e-13,5.774e-19,10.099,8.141e-04,0.07035,0.000e+00
YPT7,0.2, 0.09777,0.000e+00, 0.043086,7.071e-09,1.802e-13,7.071e-19, 9.954,9.899e-04,0.05519,0.000e+00
SAE2,0.7,-0.15546,4.880e-08,-0.031062,1.528e-08,1.897e-13,2.928e-18, 9.932,6.325e-04,0.08581,6.901e-08
IRC3,0.1,-0.13681,       NA,-0.046209,       NA,2.920e-13,       NA, 9.745,       NA,0.20153,       NA
YLR278C,0.6, 0.13712,9.647e-07, 0.028225,4.255e-07,2.985e-13,1.559e-16, 9.734,3.332e-04,0.09286,1.407e-06
DUN1,1.0,-0.11641,3.126e-02,-0.019931,1.838e-02,2.986e-13,2.061e-13,10.853,2.050e+00,0.65551,3.857e-01
PUF4,0.4, 0.11312,0.000e+00, 0.028289,1.414e-08,9.569e-13,1.374e-17, 9.229,6.737e-04,0.06903,5.000e-08
SNF12,0.8,-0.10170,1.642e-07,-0.079608,4.491e-07,9.814e-13,1.464e-16, 9.218,5.170e-04,0.13105,7.855e-07
BUR2,0.4,-0.14778,9.574e-08,-0.066682,5.500e-08,1.137e-12,3.202e-17, 9.154,8.141e-04,0.16020,2.062e-07
RTF1,0.3,-0.18256,0.000e+00,-0.067318,1.732e-08,1.589e-12,1.155e-17, 9.009,4.128e-04,0.07450,5.774e-08
